msoa_code,msoa_name,lad_code,lad_name,city,review_count,avg_sentiment_score,pct_negative,pct_neutral,pct_positive,sample_reviews
E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham,london,60,0.7143,3.3300000000000005,6.67,90.0,"Getting into the entrance, was quite challenging One box key was used for different rooms someone else picked up my key So I had to wait outside. After 15mins  one of the lodger had to let me in out o | I had a wonderful time staying at Yawen's place: first of all I'm grateful to the host for accepting to having me there. Yawen's house is nice and cozy, you can really feel the owners' put all their c | Andrea was kind and responsive throughout my stay"
E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,london,34,0.7512,5.88,0.0,94.12,"I liked the fact it was a separate entrance to the studio. I enjoyed having my own space but didn’t realise I had to go outside every time to use the bathroom. When I checked in the lock wasn’t workin | Ahmed and his wife were incredibly welcoming and attentive during my stay. When the heater in the room stopped working in the middle of the night, Ahmed went out and got a brand-new one the very next  | Helpful host who tries to make your stay comfortable."
E02000015,Barking and Dagenham 014,E09000002,Barking and Dagenham,london,48,0.7338,2.08,0.0,97.92,"The overall experience was very disappointing, for a number of reasons.<br/><br/>The host knew when we were supposed to land and the assumed time it would take us to get to the flat. Even though, sh | Stayed for 2night host was very helpful with flexibility times with my check had a wonderful time it felt like home  and enjoyed ever minute spent, highly recommend with very easy directions coming ou | Perfect place for what we needed, would highly recommend"
E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham,london,138,0.7874,2.17,2.17,95.65,"Bella advertised a luxury apt, upon arriving the smell of the lobby reaked of garbage. The place was on the 25 th floor, elevators didn’t work nor did air conditioning. Bella’s place was filthy with d | My stay was nothing short of exceptional. The apartment was not only stylish and modern but also impeccably clean. Its prime location, just steps away from the train station and surrounded by shops an | Very nice host. Strongly recommend."
E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,london,68,0.5571,14.71,2.94,82.35,"The worst place to stay, so noisy! The room was horrible and smelled really bad, stains on the wall. | The apartment was easy to find and the self check-in was easy. The hosts were very friendly, proactive in their communication, and readily available. Check-in and out instructions were clear. The apar | Arbora is an excellent host..she was very friendly..we will come back again.."
E02000018,Barking and Dagenham 017,E09000002,Barking and Dagenham,london,32,0.764,0.0,6.25,93.75,Will return | I want to say a huge thank you to Maria. She was friendly and responsive and she left the most precise and wonderful instructions. This was so helpful for any guests staying in London for the first ti | Great place. To stay while we were working in the area <br/>Thanks again for letting us stay <br/>Would definitely use again if we are ever back in the area
E02000019,Barking and Dagenham 018,E09000002,Barking and Dagenham,london,66,0.7545,4.55,1.52,93.94,"Incredibly noisy housemates, shouting on phones until 1am, deliveries turning up at 2am. If you need to sleep at night then avoid at all costs. | We had a truly wonderful 3-day stay at Florence's lovely place with our family. From the moment we arrived, everything was just perfect. The home was spotless, beautifully maintained, and had such a w | the kitchen is fully equipped , the house is clean and the bed was very comfortable ,  it’s a 15 minute walk from Becontree station."
E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham,london,64,0.7923,3.1199999999999997,0.0,96.88,"The backyard was a mess, the water from the shower and the kitchen falls over the open floor and end up un a hole in the ground. That is not clean at all…the publish said “lovely home” but it’s not lo | My stay at Vilmas Airbnb was absolutely wonderful! From the moment I arrived, I felt welcomed and well taken care of. The space was immaculately clean, beautifully decorated, and equipped with everyth | Fine and welcoming family home, with all you need for a comfortable stay."
E02000021,Barking and Dagenham 020,E09000002,Barking and Dagenham,london,67,0.7614,2.9899999999999998,0.0,97.00999999999999,"It was not great experience | Our stay at Abi's place was so wonderful. Not only the house is very nice and clean, but it has all the equipment you could wish for. Bonus: even if the bathroom is shared, each room has its own showe | Dorel was a brilliant host, place was clean and tidy"
E02000022,Barking and Dagenham 021,E09000002,Barking and Dagenham,london,120,0.8144,3.3300000000000005,0.0,96.67,"The house was dirty, it was definitely disgusting. We bought cleanşng stuffs, blankets and etc. Main problem is: wardrobe was broken when we first enter, we talked with the house owner. He told us tha | Amazing Airbnb stay! The location in Barking was perfect—convenient and surrounded by fantastic food options. The property itself was spotless; every surface and utensil was immaculate, making it inst | Really nice apartment in a great location!"
